DATETIME,MA,V
2025-12-01 09:30:00,546.035,331.3235
2025-12-01 09:35:00,547.995,332.49
2025-12-01 09:40:00,548.2,332.2684
2025-12-01 09:45:00,548.39,331.97
2025-12-01 09:50:00,548.915,332.255
2025-12-01 09:55:00,549.32,332.3
2025-12-01 10:00:00,549.31,332.247697
2025-12-01 10:05:00,549.2415,332.62
2025-12-01 10:10:00,549.4,333.0
2025-12-01 10:15:00,548.885,332.46
2025-12-01 10:20:00,548.26,331.79
2025-12-01 10:25:00,547.61,331.9
2025-12-01 10:30:00,546.93,331.7064
2025-12-01 10:35:00,547.1246,331.8238
2025-12-01 10:40:00,547.810349,331.8658
2025-12-01 10:45:00,547.82,332.1797
2025-12-01 10:50:00,548.9146,332.97
2025-12-01 10:55:00,548.595,332.898
2025-12-01 11:00:00,548.91,332.9773
2025-12-01 11:05:00,548.75,332.9601
2025-12-01 11:10:00,548.61,333.016
2025-12-01 11:15:00,548.48,332.77
2025-12-01 11:20:00,548.5276,332.68
2025-12-01 11:25:00,548.6233,332.7
2025-12-01 11:30:00,548.6625,332.525
2025-12-01 11:35:00,548.5501,332.4272
2025-12-01 11:40:00,549.32,332.62
2025-12-01 11:45:00,548.88,332.4253
2025-12-01 11:50:00,548.5461,332.472
2025-12-01 11:55:00,548.65,332.3388
2025-12-01 12:00:00,548.3261,331.95
2025-12-01 12:05:00,548.305,332.34
2025-12-01 12:10:00,549.0499,332.73
2025-12-01 12:15:00,549.06,332.528
2025-12-01 12:20:00,548.73,332.52
2025-12-01 12:25:00,548.7,332.55
2025-12-01 12:30:00,548.7,332.7015
2025-12-01 12:35:00,548.76,332.27
2025-12-01 12:40:00,548.92,332.4512
2025-12-01 12:45:00,548.565,332.41
2025-12-01 12:50:00,548.5469,332.34
2025-12-01 12:55:00,548.8,332.605
2025-12-01 13:00:00,548.6,332.615
2025-12-01 13:05:00,548.51,332.563
2025-12-01 13:10:00,548.36,332.3
2025-12-01 13:15:00,548.5323,332.29
2025-12-01 13:20:00,548.521,332.32
2025-12-01 13:25:00,548.1162,332.27
2025-12-01 13:30:00,548.13,332.33
2025-12-01 13:35:00,548.305,332.13
2025-12-01 13:40:00,548.47,332.2076
2025-12-01 13:45:00,548.5362,332.0909
2025-12-01 13:50:00,548.103,331.9794
2025-12-01 13:55:00,547.8299,331.85
2025-12-01 14:00:00,547.1851,331.74
2025-12-01 14:05:00,547.27,331.775
2025-12-01 14:10:00,547.1954,331.765
2025-12-01 14:15:00,547.01,331.7
2025-12-01 14:20:00,546.505,331.45
2025-12-01 14:25:00,546.07,331.274
2025-12-01 14:30:00,546.0,331.1953
2025-12-01 14:35:00,546.0726,331.3466
2025-12-01 14:40:00,545.99,331.3005
2025-12-01 14:45:00,545.806,331.215
2025-12-01 14:50:00,546.02,331.42
2025-12-01 14:55:00,545.86,331.37
2025-12-01 15:00:00,545.705,331.36
2025-12-01 15:05:00,545.808,331.4
